"otype","idckkp","name","desc","mdesc","gtype","wh","ph","kkp","wikidata","wikipedia","published","x_wgs84","y_wgs84","wkt_2180"
"K1.20","MZ00915","Trakt Królewski w Warszawie","Dawniej szlak komunikacyjny prowadzący ze Starego Miasta w Warszawie w kierunku południowym. Współcześnie ciąg ulic, przy którym znajduje się wiele zabytkowych budowli. Trakt Królewski zaczyna się na placu Zamkowym i biegnie ulicami: Krakowskim Przedmieściem, Nowym Światem, Alejami Ujazdowskimi, Belwederską i Sobieskiego do Wilanowa.",,"line","no","yes","no","Q48652","pl:Trakt Królewski w Warszawie",2024-10-14,"21.013467312324","52.2473634498844","Point (637414.14129162 488723.38006909)"
"K1.20","ZP00828","Mury miejskie w Pyrzycach","Mury obronne z 2. połowy XIII wieku, długości ok. 2000 metrów. W XV w. ich wysokość podwyższono do 7-9 m, rozbudowano przedbramia, baszty i czatownie.",,"line","no","no","yes","Q219093","pl:Pyrzyce",2024-10-14,"14.8923365","53.1454033","Point (225408.61981028 594560.23582488)"
"K1.30","WP00854","Średniowieczne mury obronne miasta w Stargardzie","Zespół fortyfikacji otaczających najstarsze części Stargardu. Ich budowę rozpoczęto po otrzymaniu praw miejskich (1243 r.), zachowana do dziś długość obwarowań wynosi ponad kilometr. ",,"line","no","yes","no","Q11786741","pl:Mury obronne w Stargardzie",2024-10-14,"15.0406624458476","53.3393791276436","Point (236514.91579222 615559.0188816)"
"S3.10","LU00656","Ścieżka przyrodniczo-dydaktyczna „Dąb Dominik”","Ścieżka przyrodnicza, przebiegająca w województwie lubelskim, na terenie Poleskiego Parku Narodowego. Podstawowa trasa ma długość 2,5 km, dłuższa 3,5 km. Częściowo prowadzona jest kładkami, przystosowanymi do zwiedzania przez osoby niepełnosprawne.",,"line","no","no","yes","Q18432190","pl:Ścieżka przyrodnicza „Dąb Dominik”",2024-10-14,"23.1167184","51.4579614","Point (785874.73947357 407081.9525999)"
"K1.30","KP00786","Zespół murów obronnych z zachowanymi basztami i bramami w Toruniu","Zespół średniowiecznych obwarowań Torunia, na które składają się mury odrębnych miast: Starego Miasta Torunia (prawa miejskie 1233 roku), Nowego Miasta Torunia (1264 roku), budowany od połowy XIII w., później modernizowany i rozbudowywany, w XIX w. w większości rozebrany.",,"line","no","no","yes","Q11786733","pl:Mury miejskie w Toruniu",2024-10-14,"18.6015499","53.0090988","Point (473273.57036014 571594.23259328)"
"S3.10","LU00935","Ścieżka przyrodnicza „Perehod”","Ścieżka dla wielbicieli ptaków, z wieżami obserwacyjnymi oraz schronem ornitologicznym.",,"line","no","no","yes","brak","brak",2024-10-14,"23.1669868","51.4892592","Point (789165.91149841 410757.19783739)"
"K1.10","MZ00396","Muzeum Warszawy","Siedziba muzeum mieści się w jedenastu połączonych ze sobą staromiejskich kamienicach – ośmiu po stronie Dekerta na Rynku Starego Miasta i trzech przy ul. Nowomiejskiej. Muzeum gromadzi zbiory z zakresu: archeologii, malarstwa, grafiki, ikonografii, rzeźby, rzemiosła artystycznego, numizmatyki i rysunków architektonicznych. Ich liczba to ok. 300 tys. eksponatów.",,"point","no","no","yes","Q202277","pl:Muzeum Warszawy",2024-10-14,"21.0114262102005","52.2499513318882","Point (637266.86596663 489007.22350326)"
"K1.10","MZ00419","Narodowe Muzeum Techniki w Warszawie","Muzeum jest największą placówką muzealnictwa technicznego w Polsce. Rozpoczęło działalność w 1955 r. W ciągu 60 lat działalności zgromadziło cenne zbiory, przede wszystkim z zakresu historii polskiej techniki: kolekcję motocykli, odbiorników radiowych, głównie pochodzących z krajowej produkcji, instrumentów geodezyjnych, przyrządów techniki biurowej, komputerów oraz mechanizmów grających.",,"point","no","no","yes","Q6941029","pl:Narodowe Muzeum Techniki w Warszawie",2024-10-14,"21.0058739","52.2305729","Point (636947.64960094 486842.28058811)"
"K1.10","MZ00418","Muzeum Sportu i Turystyki w Warszawie","Muzeum poświęcone historii polskiego sportu, jest jedną z najstarszych tego typu placówek w Europie, zostało utworzone w 1952 r. Zgromadzone zbiory obejmują ponad 46 tys. eksponatów, głównie trofeów sportowych (medali, pucharów, dyplomów) oraz proporczyków, sztandarów itp., a także strojów i sprzętu sportowego.",,"point","no","no","yes","Q2312270","pl:Muzeum Sportu i Turystyki w Warszawie",2024-10-14,"20.9968897","52.2741639","Point (636200.71992675 491671.67186219)"
"K1.10","MZ00393","Muzeum Fryderyka Chopina w Warszawie","Muzeum biograficzne poświęcone Fryderykowi Chopinowi. W zbiorach muzeum znajduje się licząca ok. 7000 obiektów kolekcja chopinianów. Są to m.in. rękopisy, listy oraz inne pamiątki osobiste po kompozytorze, a także fotografie, wizerunki ikonograficzne, obrazy, rysunki i grafiki. Placówka posiada największy na świecie zbiór rękopisów kompozytora.",,"point","no","no","yes","Q3692546","pl:Muzeum Fryderyka Chopina w Warszawie",2024-10-14,"21.0229197","52.2364733","Point (638092.98634503 487530.62035738)"
"P1.20","MA00882","Smocza Jama w Krakowie","Jaskinia krasowa w obrębie zrębu Wawelu, jedna z turystycznych atrakcji Krakowa. Z jaskinią wiąże się legenda o Smoku Wawelskim. W 1972 r.przed wejściem do niej ustawiono rzeźbę Smok Wawelski autorstwa Bronisława Chromego.","W KKP wzgórze wawelskie było reprezentowane przez jeden obiek, w CKKP rozbito je na kilka.","point","no","no","yes","Q836876","pl:Smocza Jama (Kraków)",2024-10-14,"19.9336431","50.0531432","Point (566817.10917568 243292.78029711)"
"K1.20","WP00630","Studnia Napoleona","Studnia znajduje się przy dawnym ważnym trakcie handlowym, który wiódł z Poznania na zachód, w kierunku Prus i Francji. Legenda głosi, że Napoleon Bonaparte, podążając z Francji na Moskwę, zatrzymał się w pobliżu i posłał adiutanta po wodę, która okazała się mieć smak szampana.",,"point","no","no","yes","Q16607789","pl:Studnia Napoleona",2024-10-14,"16.8230976","52.2505056","Point (351443.60953794 489395.30754897)"
"P1.20","DS00640","Szczeliniec Wielki","Najwyższy szczyt (922 m n.p.m.) w Górach Stołowych, na terenie Parku Narodowego Gór Stołowych. Należy on do Korony Gór Polski oraz Korony Gór Dolnego Śląska i jest jedną z największych atrakcji turystycznych Sudetów, z rezerwatem krajobrazowym i tarasami widokowymi z panoramą Sudetów.",,"point","no","no","yes","Q478005","pl:Szczeliniec Wielki",2024-10-14,"16.3410065","50.4848143","Point (311430.33983779 294235.07812432)"
"P1.20","PK00665","Tarnica","Najwyższy szczyt polskich Bieszczadów i województwa podkarpackiego, wznoszący się na krańcu pasma połonin, w grupie tzw. gniazda Tarnicy i Halicza.",,"point","no","no","yes","Q577655","pl:Tarnica",2024-10-14,"22.726323","49.0747705","Point (772035.70373556 140824.56911424)"
"P1.20","MA00683","Trzy Korony","Najwyższy szczyt Pienin Środkowych należący do Masywu Trzech Koron.",,"point","no","no","yes","Q7849064","pl:Trzy Korony (szczyt)",2024-10-14,"20.4141876","49.4138228","Point (602545.23108555 172778.62395407)"
"P.3.00","PD00840","Turtul – punkt widokowy","Punkt widokowy znajdujący się na krawędzi skarpy doliny Czarnej Hańczy na wysokości 231 m n.p.m. Rozciąga się z niego panorama na dolinę.",,"point","no","no","yes","brak","brak",2024-10-14,"22.812062","54.2229718","Point (748409.11881953 713235.36415052)"
"P1.20","DS00733","Wodospad Szklarki","Drugi co do wysokości, po Wodospadzie Kamieńczyka (27 m wysokości), wodospad w polskich Karkonoszach, położony na wysokości 525 m n.p.m.",,"point","no","no","yes","Q3866644","pl:Wodospad Szklarki",2024-10-14,"15.5548695","50.829593","Point (257474.43030058 334841.20714601)"
"P.3.00","PM00747","Wzgórze Rowokół","Wzgórze polodowcowe o wysokości 114,8 m n.p.m. na Wysoczyźnie Damnickiej. W 1984 roku wzgórze Rowokół i jego okolice objęto ochroną w formie rezerwatu przyrody „Rowokół” o powierzchni 562,81 ha, mającego na celu ochronę bukowo-jodłowego lasu na stokach wzgórza moreny czołowej o wysokości dochodzącej do 114,8 m n.p.m.",,"point","no","no","yes","Q485633","pl:Rowokół",2024-10-14,"17.2098681","54.6558078","Point (384550.58812379 756144.80171076)"
"K1.10","WN00057","Izba Historii Kanału Elbląskiego w Buczyńcu","Zwiedzający mogą się zapoznać z historią powstania kanału oraz zmian dokonanych podczas jego rewitalizacji.",,"point","no","no","yes","brak","brak",2024-10-14,"19.6188357","53.9776239","Point (540573.72502259 679414.28177908)"
"P1.20","DS00254","Jaskinia Niedźwiedzia","Najdłuższa jaskinia całych Sudetów, położona w Masywie Śnieżnika, w dolinie Kleśnicy, w pobliżu wsi Kletno. Partie środkowe (około 700 m) są dostępne dla turystów od 1983 roku, a ich największą atrakcją są nacieki wewnątrz jaskini.",,"point","no","no","yes","Q11721247","pl:Jaskinia Niedźwiedzia (Sudety)",2024-10-14,"16.842833","50.2344911","Point (346208.14059173 265258.80357808)"
"P1.20","SK00208","Jaskinia Raj","Udostępniona dla ruchu turystycznego wapienna jaskinia krasowa, obok Jaskini Niedźwiedziej w Sudetach należy do unikatowych w Polsce obiektów krasowych. Wyróżnia się wyjątkowo bogatą, różnorodną i dobrze zachowaną szatą naciekową.",,"point","no","no","yes","Q2674737","pl:Raj (jaskinia)",2024-10-14,"20.4990103","50.8251568","Point (605545.67321694 329762.60812782)"
"P1.20","WP00157","Kamień św. Jadwigi w Gołuchowie","Nazywany także Kamieniem św. Kingi - największy w Wielkopolsce, szósty co do wielkości w Polsce, głaz narzutowy. Głaz ma w obwodzie 22 m, długi jest na 8,5 m, szeroki na 6,5 m i wysokość 3,5 m.","Zmieniono nazwe na poprawną","point","no","no","yes","Q11734482","pl:Kamień św. Jadwigi",2024-10-14,"17.9468567","51.8253467","Point (427442.85788772 440414.13326249)"
"P1.20","MA00235","Kasprowy Wierch","Kasprowy Wierch (słow. Kasprov vrch; dawniej Kasprowa Czuba, Stawiańska Czuba, Goryczkowiańska Czuba) – szczyt w Tatrach Zachodnich o wysokości 1987 m.",,"point","no","no","yes","Q1735189","pl:Kasprowy Wierch",2024-10-14,"19.9815609","49.2318014","Point (571438.12865891 152051.40412954)"
"P1.20","ZP00243","Kawcza Góra","Nadmorskie wzniesienie o wysokości 61 m n.p.m. w Paśmie Wolińskim, na wyspie Wolin, nad Zatoką Pomorską, na obszarze Wolińskiego Parku Narodowego.",,"point","no","no","yes","Q11737553","pl:Kawcza",2024-10-14,"14.4660298","53.9396264","Point (202555.16690633 684533.05193595)"
"P2.00","MA00273","Kopiec Kościuszki","Poświęcony Tadeuszowi Kościuszce znajduje się na Górze św. Bronisławy w zachodniej części Krakowa na terenie Dzielnicy VII Zwierzyniec.",,"point","no","yes","yes","Q641398","pl:Kopiec Kościuszki w Krakowie",2024-10-14,"19.8933483","50.0549163","Point (563931.05690213 243454.60992983)"
"P2.00","MA00275","Kopiec Piłsudskiego","Kopiec-pomnik walki narodu o niepodległość, poświęcony Józefowi Piłsudzkiemu. Najwyższy z pięciu istniejących w Krakowie kopców, usypany na szczycie Sowińca (najwyższego wzniesienia Pasma Sowińca) znajdującego się w Lesie Wolskim, w zachodniej części Krakowa na terenie dzielnicy Zwierzyniec. Największy kopiec w Polsce.",,"point","no","no","yes","Q1985405","pl:Kopiec Józefa Piłsudskiego w Krakowie",2024-10-14,"19.8471648","50.0600489","Point (560619.58338894 243986.61068509)"
"P2.00","PK00276","Kopiec Tatarski","Kopiec położony na Zniesieniu (350,3 m n.p.m.) w Przemyślu. Pierwotnie miejsce kultu bogów słowiańskich (szczególnie Swarożyca).",,"point","no","no","yes","Q11743506","pl:Kopiec Tatarski w Przemyślu",2024-10-14,"22.7723488","49.7703744","Point (771524.74210959 218274.60892975)"
"P1.10","MA00325","Kudłoń","Czwarty (1274 m.n.p.m.) co do wysokości szczyt w Gorcach, położony na północny wschód od Turbacza, w grzbiecie łączącym Turbacz z Beskidem Wyspowym.",,"point","no","no","yes","Q11750776","pl:Kudłoń",2024-10-14,"20.1759613","49.5725781","Point (584996.05605628 190125.77221392)"
"P1.10","SK00363","Łysica","Najwyższy szczyt Gór Świętokrzyskich o wysokości 614 m n.p.m.",,"point","no","no","yes","Q384265","pl:Łysica (Góry Świętokrzyskie)",2024-10-14,"20.8965979","50.8916162","Point (633348.34262394 337793.14811451)"
"P1.10","SK00014","Dąb „Bartek”","Jeden z najstarszych dębów w Polsce, od 1954 roku chroniony prawem jako pomnik przyrody, jego wiek szcuje się na ponad 650 lat.",,"point","no","no","yes","Q790880","pl:Dąb Bartek",2024-10-14,"20.6500692","50.9875642","Point (615777.57720037 348042.3212484)"
"P.3.00","PD00179","Cisowa Góra w Gulbieniszkach","Zwana także Suwalską Fudżi-jamą. Wzniesienie utworzone przez morenę czołową. Wznosi się na wysokość 256 m n.p.m. Wzniesienie ma charakterystyczny kształt przypominający stożek krateru wulkanu.",,"point","no","no","yes","Q9283391","pl:Góra Cisowa",2024-10-14,"22.9097723","54.2513707","Point (754598.16207408 716740.3364777)"
"P1.10","PM00118","Dąb „Bartuś”","Dąb posiada obwód 670 cm  i wysokość około 25 metrów. Jego wiek oceniany jest na 600 lat.",,"point","no","no","yes","Q26248702","pl:Dąb Bartuś",2024-10-14,"17.5324626","53.817465","Point (403415.44168024 662421.82769262)"
"P1.10","LU00196","Dąb „Bolko” w Hniszowie","Dąb szypułkowy, który według pomiarów z 1992r. skiełkował około 1370 r., tj. ma ok. 650 lat. Jego obwód w pierwszej dekadzie XXI wieku wynosił 870 cm, co stawia go w szeregu największych dębów w Polsce. Osiąga wysokość 29 m.",,"point","no","no","yes","Q891397","pl:Dąb Bolko",2024-10-14,"23.6982808","51.2568001","Point (827675.30513559 387167.54890179)"
"P1.10","LB00515","Dąb „Chrobry” w Piotrowicach","Dąb Chrobry – dąb szypułkowy, jeden z najstarszych dębów w Polsce, pomnik przyrody. Od 2020 roku drzewo nie wydaje liści i uznane zostało za martwe.",,"point","no","no","yes","Q1087503","pl:Dąb Chrobry",2024-10-14,"15.7118325","51.5215841","Point (271963.77077431 411241.55447524)"
"P1.10","WN00221","Dąb Jana Bażyńskiego w Kadynach","Dąb szypułkowy, pomnik przyrody, rośnie w miejscowości Kadyny nad Zalewem Wiślanym. Jedno z najstarszych drzew w Polsce (ok. 720 lat). Wymiary (stan na 2015 rok), obwód 1003 cm, wysokość 21 metrów.",,"point","no","no","yes","Q812618","pl:Dąb Bażyńskiego",2024-10-14,"19.4874143","54.2958265","Point (531713.19056865 714740.16034427)"
"K1.20","MA00702","Dom Jana Pawła II w Wadowicach","Domu rodzinnym papieża Jana Pawła II przy ulicy Kościelnej 7 obok Bazyliki Ofiarowania NMP,  w którym znajduje sie muzeum poświęcone  życiu i działalności kapłańskiej oraz związków papieża z Wadowicami.",,"point","no","no","yes","Q5885537)","pl:Dom Rodzinny Ojca Świętego Jana Pawła II w Wadowicach",2024-10-14,"19.4939096","49.8833683","Point (535471.89213938 224121.74742269)"
"K1.30","ZP00163","Pomnik bitwy z 972 r. na Górze Czcibora","Wzniesienie morenowe w paśmie Karpat Cedyńskich o wysokości 54,5 metra n.p.m. Na szczyt prowadzą 270-stopniowe, kamienne schody. Nazwa pochodzi od imienia Czcibora, brata Mieszka I, który w bitwie pod Cedynią dowodził jedną trzecią wojsk. W tysięczną rocznicę bitwy (1972 r.) wzniesienie zostało zwieńczone 15-metrowym „Pomnikiem Polskiego Zwycięstwa nad Odrą” przedstawiającym stylizowanego orła wzbijającego się do lotu autorstwa Czesława Wronki i Stanisława Biżka.",,"point","no","no","yes","Q9283394","pl:Góra Czcibora",2024-10-14,"14.1573894","52.8548732","Point (174124.95724998 565357.67588061)"
"P.3.00","LD00509","Pomnik geometrycznego środka Polski w Piątku","Punkt będący środkiem masy (centroidem) figury geometrycznej o kształcie i rozmiarach granic administracyjnych Polski.",,"point","no","no","yes","Q11699629","pl:Geometryczny środek Polski",2024-10-14,"19.4802296","52.0693354","Point (532907.09255404 467127.39700388)"
"K1.30","SL00242","Pomnik Powstańców Śląskich w Katowicach","Pomnik upamiętniający trzy wystąpienia zbrojne ludności śląskiej przeciwko władzom niemieckim, mające na celu wywalczenie przyłączenia Górnego Śląska do Polski.",,"point","no","no","yes","Q7514824","pl:Pomnik Powstańców Śląskich",2024-10-14,"19.0240203","50.2635811","Point (501711.52076626 266266.74973233)"
"P1.10","ZP00082","Platan „Olbrzym” w Chojnach","Najokazalszy w Polsce platan klonolistny i jedno z najgrubszych drzew w kraju, jego wiek szacuje się na około 300 lat. ",,"point","no","no","yes","Q21856069","pl:Platan Olbrzym",2024-10-14,"14.4299481","52.9663234","Point (193244.99857767 576537.99637913)"
"K1.20","WP00164","Góra Przemysła","Nieznacznie wyniesiona część Starego Miasta w Poznaniu znajdująca się na zachód od Starego Rynku. Za Górę Przemysła uważa się teren pomiędzy ulicami: 23 Lutego, Ludgardy, Muzeum Narodowym i Alejami Marcinkowskiego. Na wzniesieniu tym znajduje się nowo odbudowany Zamek Królewski – dawna rezydencja króla Przemysła II.",,"point","no","no","yes","Q9283490","pl:Góra Przemysła",2024-10-14,"16.9306289","52.4092281","Point (359285.65412772 506826.58255082)"
"P1.20","DS00166","Góra Ślęża","Ślęża - najwyższy szczyt Masywu Ślęży i całego Przedgórza Sudeckiego, wznoszący się na wysokość 717,5 m n.p.m. Mimo niewielkiej wysokości bezwzględnej masyw ma imponujący wygląd ze względu na znaczną wysokość względną ponad 500 m. Ślęża należy do Korony Gór Polski, Korony Sudetów Polskich, Korony Sudetów oraz Korony Gór Dolnego Śląska.",,"point","no","no","yes","Q387148","pl:Ślęża",2024-10-14,"16.7074963","50.8640875","Point (338723.55618406 335523.21301916)"
"P1.20","PD00648","Góra Zamkowa w Szurpiłach","Góra Zamkowa - wzniesienie na Pojezierzu Suwalskim. Położone jest pomiędzy jeziorami: Szurpiły (od południa), Jegłówek (od północy) i Kluczysko (od zachodu). Wierzchołek góry znajduje się na wysokości 45 metrów ponad powierzchnią otaczających ją jezior, na wysokości bezwzględnej 228 m n.p.m. Na wzniesieniu znajdują się pozostałośc osady warownej Jaćwingów. Góra Zamkowa jest jednym z najciekawszych zabytków budownictwa obronnego oraz najważniejszym stanowiskiem archeologicznym na Suwalszczyźnie.",,"point","no","no","yes","Q9283545","pl:Góra Zamkowa (Pojezierze Wschodniosuwalskie)",2024-10-14,"22.8844998","54.2341102","Point (753058.97578619 714730.88091303)"
"P1.20","MA00177","Grota Łokietka","Jaskinia krasowa o rozwinięciu poziomym w Dolinie Sąspowskiej w północno-zachodnim zboczu Chełmowej Góry w obrębie Ojcowskiego Parku Narodowego, udostępniona dla ruchu turystycznego.",,"point","no","no","yes","Q11721307","pl:Jaskinia Łokietka",2024-10-14,"19.8188973","50.2016328","Point (558424.2596771 259701.35437607)"
"P1.20","ZP00691","Głaz „Trygław” w Tychowie","Głaz narzutowy w miejscowości Tychowo. Znajduje się na miejscowym cmentarzu. Obwód głazu wynosi około 50 metrów, długość 16 metrów, szerokość 11 metrów, łączna wysokość 7,8 metra (w tym 4 metry zagłębione w ziemię); objętość około 700 m3, szacowana masa około 2000 ton.",,"point","no","no","yes","Q9361999","pl:Trygław (głaz narzutowy)",2024-10-14,"16.2609806","53.9315461","Point (320239.04712611 677586.23260941)"
"P1.20","PM00187","Groty Mechowskie w Mechowie","Groty Mechowskie - jaskinia we wsi Mechowo w obrębie Wysoczyzny Żarnowieckiej, wytworzona w osadach fluwioglacjalnych zlodowacenia bałtyckiego. Duża osobliwość geologiczna w skali Niżu Środkowoeuropejskiego, chroniona od 1955 roku jako pomnik przyrody nieożywionej. Po drugiej wojnie światowej udostępniona dla ruchu turystycznego.",,"point","no","no","yes","Q11702553","pl:Groty Mechowskie",2024-10-14,"18.2850399","54.713563","Point (453954.0405017 761332.66331003)"
"K1.10","DS00369","Mauzoleum Piastów Śląskich we Wrocławiu","Mieści się w kościele św. Klary i św. Jadwigi przy pl. Nankiera. W mauzoleum pochowano kilku spośród śląskich władców z dynastii Piastów, a później pochodzące z niej przeorysze klarysek.",,"point","no","no","yes","Q11771814","pl:Mauzoleum Piastów Śląskich we Wrocławiu",2024-10-14,"17.0376207","51.1130339","Point (362682.36409131 362526.15397142)"
"K1.30","MZ00631","Mauzoleum Wojska Polskiego w Studziankach Pancernych","Pomnik-mauzoleum  bitwy, odsłoniety w 1964 r. w postaci czołgu biorącego udział w bitwie oraz mur z nazwiskami poległych żołnierzy.",,"point","no","no","yes","brak","brak",2024-10-14,"21.3354318","51.6851633","Point (661392.20841669 426885.06043061)"
